id;a;b;tendency_a;tendency_b;constistency
70;Saya ingin melakukan hal-hal dengan cara saya sendiri tanpa menghiraukan apa yang mungkin dipikirkan orang lain;Saya suka membaca buku-buku dan sandiwara, terutama yang berkisar sekitar masalah seks;Aut;Het;
71;Saya ingin menulis roman atau sandiwara yang hebat;Saya suka menyerang pendirian-pendirian yang bertentangan dengan pendirian saya;Ach;Agg;
72;Apabila saya berada dalam kelompok saya suka menerima pimpinan orang lain dalam memutuskan apa yang akan dilakukan oleh kelompok tersebut;Saya rasanya ingin mengecam seseorang di muka umum bila orang itu patut menerimanya;Def;Agg;
73;Saya ingin agar hidup saya teratur sedemikian rupa, sehingga berjalan lancar dan tanpa banyak perubahan-perubahan dalam rencana saya;Saya menjadi sedemikian marahnya, sehingga rasanya ingin melemparkan dan merusak barang-barang;Ord;Agg;
74;Saya suka mengajukan pertanyaan-pertanyaan yang menurut saya tidak seorangpun akan dapat menjawabnya;Saya suka mengatakan kepada orang-orang lain bagimana pendapat saya mengenai mereka;Exh;Agg;
75;Saya suka mengelakkan tanggung jawab dan kewajiban-kewajiban;Saya rasanya ingin memperolok-olok orang-orang yang melakukan hal-hal yang saya anggap bodoh;Aut;Agg;Agg
76;Saya ingin loyal terhadap teman-teman saya;Saya ingin melakukan pekerjaan apa saja sebaik mungkin;Aff;Ach;
77;Saya suka mengamat-amati bagaimana perasaan orang lain dalam suatu keadaan tertentu;Saya ingin bisa mengatakan bahwa saya telah melakukan dengan baik sesuatu pekerjaan yang sulit;Int;Ach;
78;Saya ingin teman-teman memberi dorongan kepada saya bila saya menghadapi kegagalan;Saya ingin berhasil dalam apa yang saya lakukan;Suc;Ach;
79;Saya ingin menjadi salah seorang pemimpin dalam organisasi-organisasi atau kelompok-kelompok dimana saya menjadi anggotanya;Saya ingin bisa mengerjakan segala sesuatu lebih baik daripada orang-orang lain;Dom;Ach;
80;Bila keadaan kurang menguntungkan bagi saya, maka saya merasa bahwa saya harus lebih disalahkan daripada orang lain;Saya suka memecahkan teka teki dan persoalan-persoalan yang sukar bagi orang lain;Aba;Ach;
81;Saya suka melakukan sesuatu untuk teman-teman saya;Dalam merencanakan sesuatu, saya ingin mendapat saran-saran dari orang-orang yang pendapatnya saya hormati;Aff;Def;
82;Saya suka untuk menempatkan diri saya ditempat orang lain, dan membayangkan bagaimana perasaan saya apabila saya dalam keadaan atau situasi yang sama;Saya suka menyatakan kepada atasan saya bahwa mereka telah melakukan sesuatu pekerjaan yang baik, apabila memang demikian adanya;Int;Def;
83;Saya ingin agar teman-teman saya menunjukkan simpati dan pengertian bila saya mengalami kesukaran-kesukaran;Saya suka menerima pempinan dari orang-orang yang saya kagumi;Suc;Def;
84;Apabila saya bekerja dalam suatu panitia, saya ingin ditunjuk atau dipilih sebagai ketuanya;Apabila saya berada dalam kelompok saya suka menerima pimpinan orang lain dalam memutuskan apa yang akan dilakukan oleh kelompok tersebut;Dom;Def;
85;Apabila saya melakukan sesuatu hal yang salah, saya merasa bahwa untuk itu saya harus dihukum;Saya suka mengikuti adat-istiadat dan menghindarkan melakukan hal-hal yang mungkin dianggap tidak wajar oleh orang-orang yang saya hormati;Aba;Def;
86;Saya suka dalam melakukan atau menjalani segala sesuatu bersama-sama dengan teman-teman;Saya suka membuat perencanaan sebelum mulai pekerjaan yang sulit;Aff;Ord;
87;Saya ingin memahami bagimana perasaan teman-teman saya dalam menghadapi berbagai masalah;Jika saya akan bepergian, saya senang apabila segala sesuatunya telah direncanakan sebelumnya;Int;Ord;
88;Saya ingin diperlakukan dengan ramah oleh teman-teman saya;Sebelum memulai sesuatu pekerjaan saya ingin pekerjaan itu teratur dan terencanakan;Suc;Ord;
89;Saya ingin dianggap sebagai pemimpin oleh orang-orang lain;Saya suka menyimpan surat-surat, bon-bon, dan kertas-kertas lain secara tersusun rapi dan menurut sistem tertentu;Dom;Ord;
90;Saya merasa bahwa pilu hati dan kesusahan yang telah saya alami, lebih banyak membawa kebaikan daripada kerugian bagi saya;Saya ingin agar hidup saya teratur sedemikian rupa, sehingga berjalan lancar dan tanpa banyak perubahan-perubahan dalam rencana saya;Aba;Ord;
91;Saya ingin mempunyai ikatan perasaan yang kuat dengan teman teman saya;Saya suka mengatakan hal yang dianggap lucu dan cerdas oleh orang lain;Aff;Exh;
92;Saya suka merenungkan kepribadian teman-teman saya dan mencoba mengerti apa yang menyebabkan mereka mempunyai kepribadian yang demikian;Saya kadang-kadang suka melakukan hal-hal hanya untuk melihat bagaimana pengaruhnya terhadap orang lain;Int;Exh;
93;Saya ingin agar teman-teman saya meributkan tentang diri saya, apabila mendapatkan cedera atau sakit;Saya suka berbicara tentang hal-hal yang telah saya capai;Suc;Exh;
94;Saya suka mengatakan pada orang-orang lain bagimana mereka harus melakukan pekerjaan mereka;Saya suka menjadi pusat perhatian, apabila saya ada di dalam suatu kelompok;Dom;Exh;
95;Saya merasa canggung ditengah-tengah orang-orang lain yang saya anggap sebagai atasan saya;Saya suka menggunakan kata-kata yang maknanya seringkali tidak diketahui oleh orang lain;Aba;Exh;
96;Saya lebih suka mengerjakan sesuatu bersama-sama dengan teman-teman saya daripada sendirian;Saya suka menyatakan pendapat saya tentang berbagai hal;Aff;Aut;
97;Saya suka mempelajari dan menganalisa tingkah laku orang-orang lain;Saya suka melakukan hal-hal yang dianggap orang lain tidak sesuai dengan adat kebiasaan;Int;Aut;
98;Saya ingin teman-teman saya merasa kasihan pada saya apabila saya sedang sakit;Saya suka mengelakkan situasi-situasi yang mengharapkan saya melakukan hal-hal dengan cara yang umum dilakukan orang;Suc;Aut;
99;Sedapat mungkin saya ingin membimbing dan mengarahkan tindakan atau perbuatan orang lain;Saya ingin melakukan hal-hal dengan cara saya sendiri tanpa menghiraukan apa yang mungkin dipikirkan orang lain;Dom;Aut;
100;Saya merasa bahwa dalam banyak hal, saya kalah bila dibandingkan dengan orang-orang lain;Saya suka mengelakkan tanggung jawab dan kewajiban-kewajiban;Aba;Aut;
101;Saya ingin berhasil dalam apa yang saya lakukan;Saya suka membuat teman-teman baru;Aff;Aff;Aff
102;Saya suka menganalisa perasaan-perasaan saya dan sebab-sebab mengapa saya melakukan sesuatu;Saya ingin melakukan sesuatu untuk teman-teman saya;Int;Aff;
103;Saya ingin agar teman-teman saya membantu saya bila saya mengalami kesulitan;Saya suka melakukan sesuatu untuk teman-teman saya;Suc;Aff;
104;Saya suka memperdebatkan pendirian saya bila diserang oleh orang-orang lain;Saya suka berkirim surat kepada teman-teman saya;Dom;Aff;
105;Saya merasa bersalah, apabila saya telah melakukan sesuatu yang saya ketahui keliru;Saya ingin mempunyai ikatan perasaan yang kuat dengan teman teman saya;Aba;Aff;
106;Saya suka dalam melakukan atau menjalani segala sesuatu bersama-sama dengan teman-teman;Saya suka menganalisa perasaan-perasaan saya dan sebab-sebab mengapa saya melakukan sesuatu;Aff;Int;
107;Saya suka menerima pimpinan dari orang-orang yang saya kagumi;Saya ingin memahami bagimana perasaan teman-teman saya dalam menghadapi berbagai masalah;Int;Int;Int
108;Saya ingin agar teman-teman saya dengan gembira memberikan pertolongan-pertolongan kecil kepada saya;Saya suka menilai orang berdasarkan sebab-sebab mengapa mereka melakukan sesuatu, bukan berdasar apa yang sesungguhnya mereka lakukan;Suc;Int;
109;Bila saya berada dalam suatu kelompok, saya ingin menentukan apa yang akan kami kerjakan;Saya suka meramalkan bagimana teman-teman saya akan bertindak dalam berbagai situasi;Dom;Int;
110;Saya lebih suka mengalah dan menghindarkan perkelahian daripada memaksakan kemauan saya;Saya suka menganalisa perasaan-perasaan orang lain dan sebab-sebab mengapa mereka melakukan sesuatu;Aba;Int;
111;Saya suka membuat teman-teman baru;Saya ingin agar teman-teman saya membantu saya bila saya mengalami kesulitan;Aff;Suc;
112;Saya suka menilai orang berdasarkan sebab-sebab mengapa mereka melakukan sesuatu, bukan berdasar apa yang sesungguhnya mereka lakukan;Saya ingin teman-teman saya banyak menujukkan rasa sayang mereka terhadap saya;Int;Suc;
113;Saya ingin agar hidup saya teratur sedemikian rupa, sehingga berjalan lancar dan tanpa banyak perubahan-perubahan dalam rencana saya;Saya ingin teman-teman saya merasa kasihan pada saya apabila saya sedang sakit;Suc;Suc;Suc
114;Saya senang untuk diminta menyelesaikan pertentangan-pertentangan atau perselisihan-perselisihan;Saya ingin agar teman-teman saya dengan gembira memberikan pertolongan-pertolongan kecil kepada saya;Dom;Suc;
115;Saya merasa bahwa saya harus mengakui hal-hal yang telah saya lakukan dan saya anggap salah;Saya ingin agar teman-teman saya bersimpati terhadap saya dan menghibur saya bila saya bersusah hati;Aba;Suc;
116;Saya lebih suka mengerjakan sesuatu bersama-sama dengan teman-teman saya daripada sendirian;Saya suka memperdebatkan pendirian saya bila diserang oleh orang-orang lain;Aff;Dom;
117;Saya suka merenungkan kepribadian teman-teman saya dan mencoba mengerti apa yang menyebabkan mereka mempunyai kepribadian yang demikian;Saya ingin dapat membujuk dan mempengaruhi orang lain untuk melakukan apa yang saya kehendaki;Int;Dom;
118;Saya ingin agar teman-teman saya bersimpati terhadap saya dan menghibur saya bila saya bersusah hati;Bila saya berada dalam suatu kelompok, saya ingin menentukan apa yang akan kami kerjakan;Suc;Dom;
119;Saya suka mengajukan pertanyaan-pertanyaan yang menurut saya tidak seorangpun akan dapat menjawabnya;Saya suka menyatakan kepada orang lain bagaimana mereka harus melakukan pekerjaan mereka;Dom;Dom;Dom
120;Saya merasa canggung ditengah-tengah orang-orang lain yang saya anggap sebagai atasan saya;Sedapat mungkin saya ingin membimbing dan mengarahkan tindakan atau perbuatan orang lain;Aba;Dom;
121;Saya suka bergaul dalam kelompok yang para anggotanya akrab dan bersahabat satu sama lainnya;Saya merasa bersalah, apabila saya telah melakukan sesuatu yang saya ketahui keliru;Aff;Aba;
122;Saya suka menganalisa perasaan-perasaan orang lain dan sebab-sebab mengapa mereka melakukan sesuatu;Saya merasa sedih akan ketidakmampuan saya untuk menghadapi berbagai macam keadaan;Int;Aba;
123;Saya ingin teman-teman saya merasa kasihan pada saya apabila saya sedang sakit;Saya lebih suka mengalah dan menghindarkan perkelahian daripada memaksakan kemauan saya;Suc;Aba;
124;Saya ingin dapat membujuk dan mempengaruhi orang lain untuk melakukan apa yang saya kehendaki;Saya merasa sedih akan ketidakmampuan saya untuk menghadapi berbagai macam keadaan;Dom;Aba;
125;Saya suka mengecam orang-orang yang kedudukannya memegang kekuasaan;Saya merasa canggung ditengah-tengah orang-orang lain yang saya anggap sebagai atasan saya;Aba;Aba;Aba
126;Saya suka bergaul dalam kelompok yang para anggotanya akrab dan bersahabat satu sama lainnya;Saya suka menolong teman-teman saya, apabila mereka dalam kesulitan;Aff;Nur;
127;Saya suka menganalisa perasaan-perasaan saya dan sebab-sebab mengapa saya melakukan sesuatu;Saya suka menunjukkan simpati saya kepada teman-teman saya bila mereka mendapat cedera atau sakit;Int;Nur;
128;Saya ingin agar teman-teman saya membantu saya bila saya mengalami kesulitan;Saya suka memperlakukan orang lain dengan ramah dan simpatik;Suc;Nur;
129;Saya ingin menjadi salah seorang pemimpin dalam organisasi-organisasi kelompok yang saya masuki;Saya suka menunjukkan simpati saya kepada teman-teman saya bila mereka mendapat cedera atau sakit;Dom;Nur;
130;Saya merasa bahwa pilu hati dan kesusahan yang telah saya alami, lebih banyak membawa kebaikan daripada kerugian bagi saya;Saya suka berlaku ramah tehadap teman-teman saya;Aba;Nur;
131;Saya lebih suka mengerjakan sesuatu bersama-sama dengan teman-teman saya daripada sendirian;Saya suka bereksperimen dalam mencoba hal-hal yang baru;Aff;Chg;
132;Saya suka merenungkan kepribadian teman-teman saya dan mencoba mengerti apa yang menyebabkan mereka mempunyai kepribadian yang demikian;Saya suka mencoba pekerjaan yang baru dan berbeda-beda, daripada melakukan pekerjaan yang sama dan terus menerus;Int;Chg;
133;Saya ingin agar teman-teman saya menunjukkan simpati dan pengertian bila saya mengalami kesukaran-kesukaran;Saya suka bertemu dengan orang-orang baru;Suc;Chg;
134;Saya suka memperdebatkan pendirian saya bila diserang oleh orang-orang lain;Saya ingin mengalami pembaharuan dan perubahan dalam kehidupan saya sehari hari;Dom;Chg;
135;Saya lebih suka mengalah dan menghindarkan perkelahian daripada memaksakan kemauan saya;Saya suka berkeliling di pedalaman dan tinggal di berbagai tempat;Aba;Chg;
136;Saya suka melakukan sesuatu untuk teman-teman saya;Bila saya harus melakukan suatu tugas, saya ingin mengerjakannya sampai selesai;Aff;End;
137;Saya suka menganalisa perasaan-perasaan orang lain dan sebab-sebab mengapa mereka melakukan sesuatu;Saya ingin menghindarkan gangguan bila saya sedang bekerja;Int;End;
138;Saya suka memberi pertolongan-pertolongan kecil kepada teman-teman saya;Saya suka bekerja sampai jauh malam untuk menyelesaikan suatu pekerjaan;Suc;End;
139;Saya ingin dianggap sebagai pemimpin oleh orang-orang lain;Saya ingin bekerja berjam-jam tanpa diganggu;Dom;End;
140;Apabila saya melakukan sesuatu hal yang salah, saya merasa bahwa untuk itu saya harus dihukum;Saya suka bertahan menghadapi suatu pekerjaan atau masalah, sekalipun tampaknya seolah-olah saya tak akan berhasil;Aba;End;
141;Saya ingin loyal terhadap teman-teman saya;Saya suka bepergian dengan lawan jenis saya yang menarik;Aff;Het;
142;Saya suka meramalkan bagaimana teman-teman saya akan bertindak dalam berbagai situasi;Saya suka ikut serta dalam diskusi-diskusi tentang seks dan aktifitas seksuil;Int;Het;
143;Saya ingin teman teman saya menunjukkan rasa sayang mereka terhadap saya;Saya suka nafsu saya terangsang;Suc;Het;
144;Bila saya berada dalam suatu kelompok, saya ingin menentukan apa yang akan kami kerjakan;Saya suka ikut dalam aktivitas-aktivitas sosial bersama-sama dengan orang-orang dari lawan jenis saya;Dom;Het;
145;Saya merasa sedih akan ketidakmampuan saya untuk menghadapi berbagai macam keadaan;Saya suka membaca buku-buku dan sandiwara, terutama yang berkisar sekitar masalah seks;Aba;Het;
146;Saya suka berkirim surat kepada teman-teman saya;Saya suka membaca berita-berita surat kabar tentang pembunuhan-pembunuhan dan lain-lain perbuatan kekerasan;Aff;Agg;
147;Saya suka meramalkan bagimana teman-teman saya akan bertindak dalam berbagai situasi;Saya suka menyerang pendirian-pendirian yang bertentangan dengan pendirian saya;Int;Agg;
148;Saya ingin agar teman-teman saya meributkan tentang diri saya, apabila mendapatkan cedera atau sakit;Saya rasanya ingin menyalahkan orang lain bila keadaannya kurang menguntungkan saya;Suc;Agg;
149;Saya suka menyatakan kepada orang lain bagaimana mereka harus melakukan pekerjaan mereka;Rasa rasanya ingin membalas dendam bila seseorang menghina saya;Dom;Agg;
150;Saya merasa bahwa dalam banyak hal, saya kalah bila dibandingkan dengan orang-orang lain;Saya rasanya ingin menghardik orang lain bila saya berbeda pendapat dengan mereka;Aba;Agg;Ach
151;Saya suka menolong teman-teman saya, apabila mereka dalam kesulitan;Saya suka melakukan pekerjaan apa saja sebaik mungkin;Nur;Ach;
152;Saya suka bepergian melihat-lihat daerah pedalaman;Saya suka menyelesaikan tugas-tugas yang dianggap orang lain sebagai tugas yang membutuhkan keterampilan dan usaha;Chg;Ach;
153;Saya suka bekerja keras pada tiap pekerjaan yang saya hadapi;Saya ingin menyelesaikan sesuatu yang sangat penting artinya;End;Ach;
154;Saya suka bepergian dengan lawan jenis saya yang menarik;Saya ingin berhasil dalam apa yang saya lakukan;Het;Ach;
